dataset,pub,type,num,url
ifad-activitity-af,ifad,activities,5,"https://webapps.ifad.org/iati/ifad_af_activities.xml"
ifad-activitity-al,ifad,activities,5,"https://webapps.ifad.org/iati/ifad_al_activities.xml"
ifad-activitity-am,ifad,activities,7,"https://webapps.ifad.org/iati/ifad_am_activities.xml"
ifad-activitity-ao,ifad,activities,8,"https://webapps.ifad.org/iati/ifad_ao_activities.xml"
ifad-activitity-ar,ifad,activities,9,"https://webapps.ifad.org/iati/ifad_ar_activities.xml"
ifad-activitity-az,ifad,activities,5,"https://webapps.ifad.org/iati/ifad_az_activities.xml"
ifad-activitity-ba,ifad,activities,8,"https://webapps.ifad.org/iati/ifad_ba_activities.xml"
ifad-activitity-bd,ifad,activities,35,"https://webapps.ifad.org/iati/ifad_bd_activities.xml"
ifad-activitity-bf,ifad,activities,17,"https://webapps.ifad.org/iati/ifad_bf_activities.xml"
ifad-activitity-bi,ifad,activities,14,"https://webapps.ifad.org/iati/ifad_bi_activities.xml"
ifad-activitity-bj,ifad,activities,14,"https://webapps.ifad.org/iati/ifad_bj_activities.xml"
ifad-activitity-bo,ifad,activities,14,"https://webapps.ifad.org/iati/ifad_bo_activities.xml"
ifad-activitity-br,ifad,activities,14,"https://webapps.ifad.org/iati/ifad_br_activities.xml"
ifad-activitity-bt,ifad,activities,9,"https://webapps.ifad.org/iati/ifad_bt_activities.xml"
ifad-activitity-bw,ifad,activities,2,"https://webapps.ifad.org/iati/ifad_bw_activities.xml"
ifad-activitity-bz,ifad,activities,4,"https://webapps.ifad.org/iati/ifad_bz_activities.xml"
ifad-activitity-cd,ifad,activities,10,"https://webapps.ifad.org/iati/ifad_cd_activities.xml"
